id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Grind,Block Theory,hip-hop,uplifting,0.78,95,0.82,0.85,0.12
12,Velvet Whisper,Celeste Moure,r&b,romantic,0.52,88,0.73,0.69,0.44
13,Morning Sonata,Aria Collective,classical,peaceful,0.22,68,0.61,0.28,0.97
14,Strobe Garden,FLUXON,edm,euphoric,0.95,138,0.88,0.93,0.03
15,Iron Curtain,Gravehowl,metal,angry,0.97,168,0.22,0.44,0.06
16,Dusty Backroads,June Hollow,country,nostalgic,0.45,104,0.66,0.57,0.82
17,Island Echo,Reel Current,reggae,melancholic,0.48,76,0.54,0.72,0.63
18,Broken Chandelier,Nora Voss,soul,sad,0.38,72,0.31,0.46,0.75
19,Bassline Carnival,The Slappers,funk,playful,0.84,112,0.87,0.91,0.19
20,Salsa Futura,Ritmo del Sol,latin,festive,0.88,128,0.91,0.89,0.14